workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
B,vacuum,layers_46,pread,128,1,1,0.00,100.00,509.26,4286.94,4796.20,2.16,144.00,238.00,1.80,54030984
B,vacuum,layers_46,async,128,1,1,0.00,100.00,499.94,329.28,829.22,2.10,145.00,235.00,1.80,54030764
B,vacuum,layers_64,pread,128,1,1,0.00,100.00,584.06,5963.86,6547.92,2.14,144.00,238.00,1.80,54031172
B,vacuum,layers_64,async,128,1,1,0.00,100.00,504.52,376.92,881.44,2.11,145.00,235.00,1.80,54031684
B,vacuum,layers_92,pread,128,1,1,0.00,100.00,489.10,7803.17,8292.27,2.12,144.00,238.00,1.80,54293228
B,vacuum,layers_92,async,128,1,1,0.00,100.00,514.75,424.15,938.90,2.11,145.00,235.00,1.80,54015528
B,ta,layers_1,pread,128,1,1,0.00,100.00,879.68,369.55,1249.23,2.31,182.00,275.00,1.80,54015868
B,ta,layers_1,async,128,1,1,0.00,100.00,1005.08,285.61,1290.69,2.37,182.00,275.00,1.80,53977728
B,ta,layers_2,pread,128,1,1,0.00,100.00,596.28,407.45,1003.73,2.29,182.00,275.00,1.80,53989884
B,ta,layers_2,async,128,1,1,0.00,100.00,911.43,260.06,1171.49,2.30,182.00,275.00,1.80,53996948
B,ta,layers_3,pread,128,1,1,0.00,100.00,595.11,378.30,973.41,2.30,182.00,277.00,1.80,53998768
B,ta,layers_3,async,128,1,1,0.00,100.00,1006.48,271.77,1278.25,2.32,182.00,275.00,1.80,53999200
B,ta,layers_4,pread,128,1,1,0.00,100.00,593.70,371.00,964.70,2.27,182.00,277.00,1.80,53999636
B,ta,layers_4,async,128,1,1,0.00,100.00,600.09,307.18,907.27,2.27,182.00,275.00,1.80,53999432
B,ta,layers_5,pread,128,1,1,0.00,100.00,525.37,426.65,952.02,2.24,182.00,277.00,1.82,53999660
B,ta,layers_5,async,128,1,1,0.00,100.00,604.12,277.24,881.36,2.29,182.00,275.00,1.82,54001012
B,ta,layers_6,pread,128,1,1,0.00,100.00,604.11,554.82,1158.93,2.29,182.00,276.00,1.82,53989492
B,ta,layers_6,async,128,1,1,0.00,100.00,593.47,306.99,900.46,2.28,182.00,275.00,1.82,53989992
B,ta,layers_8,pread,128,1,1,0.00,100.00,606.58,558.92,1165.50,2.29,182.00,276.00,1.82,53990844
B,ta,layers_8,async,128,1,1,0.00,100.00,602.21,269.39,871.60,2.30,182.00,275.00,1.82,53991252
B,ta,layers_12,pread,128,1,1,0.00,100.00,593.51,678.92,1272.43,2.25,181.00,275.00,1.82,53991596
B,ta,layers_12,async,128,1,1,0.00,100.00,598.02,306.33,904.35,2.28,182.00,275.00,1.82,53992468
B,ta,layers_16,pread,128,1,1,0.00,100.00,586.51,777.24,1363.75,2.31,181.00,275.00,1.82,53995852
B,ta,layers_16,async,128,1,1,0.00,100.00,595.64,322.91,918.55,2.32,182.00,274.00,1.82,53995484
B,ta,layers_24,pread,128,1,1,0.00,100.00,607.30,790.42,1397.72,2.28,181.00,275.00,1.82,53996200
B,ta,layers_24,async,128,1,1,0.00,100.00,577.25,288.97,866.22,2.29,181.00,275.00,1.82,53995932
B,ta,layers_32,pread,128,1,1,0.00,100.00,587.69,922.63,1510.32,2.30,181.00,275.00,1.82,53997428
B,ta,layers_32,async,128,1,1,0.00,100.00,566.11,308.97,875.08,2.27,181.00,275.00,1.82,53998136
B,ta,layers_46,pread,128,1,1,0.00,100.00,583.78,907.38,1491.16,2.31,181.00,275.00,1.82,54000152
B,ta,layers_46,async,128,1,1,0.00,76.10,589.94,342.99,932.93,2.23,181.00,275.00,1.83,54000556
B,ta,layers_64,pread,128,1,1,0.00,100.00,597.95,1003.53,1601.48,2.30,180.00,275.00,1.83,54000628
B,ta,layers_64,async,128,1,1,0.00,100.00,563.65,339.68,903.33,2.27,181.00,275.00,1.83,54001760
B,ta,layers_92,pread,128,1,1,0.00,100.00,592.63,1047.17,1639.80,2.27,180.00,275.00,1.83,54002056
B,ta,layers_92,async,128,1,1,0.00,100.00,660.33,413.60,1073.93,2.26,181.00,275.00,1.83,54002384
C,orig,layers_1,pread,128,1,1,0.00,100.00,1018.30,279.50,1297.80,1.60,24.00,25.00,1.83,54002768
C,orig,layers_1,async,128,1,1,0.00,100.00,1032.72,306.25,1338.97,1.60,24.00,25.00,1.83,54007504
