workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
C,orig,layers_4,pread,1,128,953.29,,953.29,0,100.0,543.35,1496.64,0.0
C,orig,layers_46,async,3,128,1008.74,,1003.63,3.06,100.0,323.12,1331.86,0.0
C,orig,layers_46,pread,1,128,1013.70,,1013.70,0,100.0,4205.74,5219.44,0.0
C,orig,layers_5,async,3,128,1020.83,,1011.72,4.40,100.0,268.93,1288.21,0.0
C,orig,layers_5,pread,1,128,1014.70,,1014.70,0,100.0,646.47,1661.17,0.0
C,orig,layers_6,async,3,128,1014.65,,1013.45,0.95,100.0,269.83,1284.20,0.0
C,orig,layers_6,pread,1,128,1008.48,,1008.48,0,100.0,725.55,1734.03,0.0
C,orig,layers_64,async,3,128,1008.30,,1005.05,6.05,100.0,340.15,1348.45,0.0
C,orig,layers_64,pread,1,128,1021.00,,1021.00,0,100.0,5792.46,6813.46,0.0
C,orig,layers_8,async,3,128,1016.56,,1010.06,3.53,100.0,271.43,1286.32,0.0
C,orig,layers_8,pread,1,128,957.89,,957.89,0,100.0,986.79,1944.68,0.0
C,orig,layers_92,async,3,128,633.48,,629.67,2.69,100.0,451.51,1082.20,0.0
C,orig,layers_92,pread,1,128,641.16,,641.16,0,100.0,8274.10,8915.26,0.0
C,ta,baseline,baseline,3,128,872.13,,858.47,35.52,0.0,0.00,872.13,0.0
C,ta,layers_1,async,3,128,858.46,,815.69,34.12,100.0,262.09,1120.26,0.0
C,ta,layers_1,pread,1,128,889.57,,889.57,0,100.0,347.33,1236.90,0.0
C,ta,layers_12,async,3,128,824.19,,822.69,3.77,100.0,275.29,1101.27,0.0
C,ta,layers_12,pread,1,128,820.49,,820.49,0,100.0,633.37,1453.86,0.0
C,ta,layers_16,async,3,128,823.60,,810.85,33.42,100.0,277.27,1101.56,0.0
C,ta,layers_16,pread,1,128,812.73,,812.73,0,100.0,845.01,1657.74,0.0
C,ta,layers_2,async,3,128,830.19,,825.05,29.51,100.0,261.54,1093.36,0.0
C,ta,layers_2,pread,1,128,890.96,,890.96,0,100.0,441.91,1332.87,0.0
C,ta,layers_24,async,3,128,810.93,,798.88,32.22,100.0,287.67,1098.60,0.0
C,ta,layers_24,pread,1,128,829.57,,829.57,0,100.0,869.38,1698.95,0.0
C,ta,layers_3,async,3,128,820.60,,818.22,4.55,100.0,261.30,1083.87,0.0
C,ta,layers_3,pread,1,128,892.13,,892.13,0,100.0,447.84,1339.97,0.0
C,ta,layers_32,async,3,128,788.48,,782.63,5.32,100.0,299.77,1090.59,0.0
C,ta,layers_32,pread,1,128,811.21,,811.21,0,100.0,1005.26,1816.47,0.0
C,ta,layers_4,async,3,128,832.09,,826.75,3.09,100.0,265.15,1094.70,0.0
C,ta,layers_4,pread,1,128,894.23,,894.23,0,100.0,450.80,1345.03,0.0
C,ta,layers_46,async,3,128,890.38,,821.33,51.82,76.1,311.76,1202.14,0.0
C,ta,layers_46,pread,1,128,884.17,,884.17,0,100.0,906.07,1790.24,0.0
C,ta,layers_5,async,3,128,837.74,,822.67,35.58,100.0,266.45,1098.95,0.0
C,ta,layers_5,pread,1,128,895.47,,895.47,0,100.0,448.85,1344.32,0.0
C,ta,layers_6,async,3,128,844.03,,824.20,33.87,100.0,266.98,1111.01,0.0
C,ta,layers_6,pread,1,128,908.40,,908.40,0,100.0,629.19,1537.59,0.0
C,ta,layers_64,async,3,128,795.64,,789.66,34.99,100.0,331.46,1127.40,0.0
C,ta,layers_64,pread,1,128,485.64,,485.64,0,100.0,1043.89,1529.53,0.0
C,ta,layers_8,async,3,128,825.60,,824.64,6.31,100.0,270.25,1096.95,0.0
C,ta,layers_8,pread,1,128,829.69,,829.69,0,100.0,629.51,1459.20,0.0
C,ta,layers_92,async,3,128,474.48,,464.02,5.73,100.0,367.17,841.65,0.0
C,ta,layers_92,pread,1,128,482.27,,482.27,0,100.0,1051.21,1533.48,0.0
C,vacuum,baseline,baseline,3,128,983.16,,949.43,25.64,0.0,0.00,983.16,0.0
C,vacuum,layers_1,async,3,128,859.22,,798.97,38.97,100.0,262.60,1121.16,0.0
C,vacuum,layers_1,pread,1,128,865.94,,865.94,0,100.0,345.82,1211.76,0.0
C,vacuum,layers_12,async,3,128,896.69,,892.73,1.97,100.0,278.15,1174.84,0.0
C,vacuum,layers_12,pread,1,128,897.25,,897.25,0,100.0,1355.39,2252.64,0.0
C,vacuum,layers_16,async,3,128,896.22,,889.61,3.20,100.0,281.16,1176.44,0.0
C,vacuum,layers_16,pread,1,128,892.53,,892.53,0,100.0,1671.31,2563.84,0.0
C,vacuum,layers_2,async,3,128,902.22,,857.41,22.15,100.0,262.23,1164.45,0.0
C,vacuum,layers_2,pread,1,128,889.90,,889.90,0,100.0,518.45,1408.35,0.0
C,vacuum,layers_24,async,3,128,894.08,,860.88,16.94,100.0,293.54,1187.48,0.0
C,vacuum,layers_24,pread,1,128,891.60,,891.60,0,100.0,2310.19,3201.79,0.0
C,vacuum,layers_3,async,3,128,895.30,,892.41,6.81,100.0,261.24,1160.89,0.0
C,vacuum,layers_3,pread,1,128,868.66,,868.66,0,100.0,523.74,1392.40,0.0
C,vacuum,layers_32,async,3,128,895.37,,889.22,8.85,100.0,305.50,1200.87,0.0
C,vacuum,layers_32,pread,1,128,896.75,,896.75,0,100.0,3001.90,3898.65,0.0
C,vacuum,layers_4,async,3,128,896.89,,868.62,16.05,100.0,265.91,1162.80,0.0
C,vacuum,layers_4,pread,1,128,895.88,,895.88,0,100.0,613.06,1508.94,0.0
C,vacuum,layers_46,async,3,128,865.89,,817.76,27.15,100.0,325.91,1192.05,0.0
C,vacuum,layers_46,pread,1,128,858.54,,858.54,0,100.0,4047.36,4905.90,0.0
C,vacuum,layers_5,async,3,128,890.73,,868.21,14.03,100.0,266.82,1156.87,0.0
C,vacuum,layers_5,pread,1,128,887.95,,887.95,0,100.0,784.42,1672.37,0.0
C,vacuum,layers_6,async,3,128,898.43,,893.67,3.26,100.0,269.00,1167.43,0.0
C,vacuum,layers_6,pread,1,128,890.00,,890.00,0,100.0,838.29,1728.29,0.0
C,vacuum,layers_64,async,3,128,494.86,,468.69,13.27,100.0,356.43,851.29,0.0
