workload,N,rep,first_query_us,avg_us,majflt,minflt
B,7,2,530.24,2.18,182,275
B,7,3,534.91,2.13,182,275
B,8,1,650.80,2.13,182,275
B,8,2,531.08,2.09,182,276
B,8,3,666.91,2.15,182,275
B,9,1,533.69,2.15,182,275
B,9,2,525.98,2.12,182,275
B,9,3,641.97,2.15,182,275
B,10,1,642.40,2.17,182,275
B,10,2,644.05,2.15,182,275
B,10,3,518.99,2.12,182,275
B,11,1,651.00,2.12,182,275
B,11,2,524.61,2.19,182,275
B,11,3,641.89,2.18,182,275
B,12,1,528.31,2.16,182,275
B,12,2,629.47,2.15,182,275
B,12,3,521.80,2.17,182,276
B,13,1,524.39,2.12,182,274
B,13,2,527.23,2.12,182,274
B,13,3,520.35,2.16,182,274
B,14,1,657.29,2.12,182,274
B,14,2,632.96,2.15,182,274
B,14,3,537.07,2.17,182,274
B,15,1,633.92,2.13,182,274
B,15,2,647.69,2.15,182,274
B,15,3,523.24,2.14,182,274
B,16,1,534.30,2.14,182,274
B,16,2,639.22,2.15,182,274
B,16,3,522.56,2.18,182,274
B,17,1,532.56,2.15,182,275
B,17,2,628.37,2.22,182,275
B,17,3,527.20,2.15,182,275
B,18,1,539.96,2.15,181,275
B,18,2,630.20,2.14,181,275
B,18,3,636.32,2.16,181,275
B,19,1,625.08,2.13,181,275
B,19,2,522.24,2.12,181,275
B,19,3,632.82,2.14,181,275
B,20,1,540.91,2.14,181,275
B,20,2,621.92,2.13,181,275
B,20,3,633.37,2.17,181,275
B,21,1,527.99,2.16,181,276
B,21,2,527.39,2.12,181,275
B,21,3,531.47,2.08,181,275
B,22,1,457.77,2.11,181,275
B,22,2,524.33,2.15,181,275
B,22,3,519.92,2.10,181,275
B,23,1,524.60,2.14,181,275
B,23,2,526.06,2.16,181,275
B,23,3,523.27,2.13,181,275
B,24,1,619.49,2.18,181,275
B,24,2,627.79,2.13,181,275
B,24,3,461.00,2.13,181,275
B,25,1,531.40,2.13,181,275
B,25,2,616.53,2.14,181,275
B,25,3,523.35,2.13,181,275
B,26,1,467.34,2.09,181,275
B,26,2,478.76,2.09,181,275
B,26,3,466.48,2.08,181,275
B,27,1,527.17,2.12,181,275
B,27,2,623.64,2.14,181,275
B,27,3,615.13,2.13,181,275
B,28,1,526.88,2.18,181,275
B,28,2,533.83,2.11,181,275
B,28,3,621.90,2.12,181,275
B,29,1,530.04,2.14,181,275
B,29,2,626.87,2.15,181,275
B,29,3,625.26,2.14,181,275
B,30,1,533.09,2.15,181,275
B,30,2,619.88,2.14,181,275
B,30,3,625.05,2.16,181,275
B,31,1,522.08,2.14,181,275
B,31,2,456.29,2.08,181,275
B,31,3,469.44,2.12,181,275
B,32,1,630.38,2.11,181,275
B,32,2,611.31,2.18,181,275
B,32,3,527.56,2.13,181,275
B,33,1,613.24,2.15,181,275
B,33,2,528.60,2.12,181,275
B,33,3,609.75,2.16,181,275
B,34,1,525.87,2.13,181,276
B,34,2,607.11,2.17,181,275
B,34,3,610.42,2.13,181,275
B,35,1,674.46,2.18,181,275
B,35,2,632.10,2.15,181,275
B,35,3,613.18,2.16,181,275
B,36,1,529.65,2.16,181,275
B,36,2,523.83,2.16,181,275
B,36,3,605.90,2.15,181,275
B,37,1,620.17,2.15,181,275
B,37,2,530.08,2.15,181,275
B,37,3,535.32,2.16,181,275
B,38,1,530.43,2.15,181,275
B,38,2,527.20,2.13,181,275
B,38,3,532.95,2.14,181,275
B,39,1,607.78,2.17,181,275
B,39,2,530.12,2.15,181,275
B,39,3,537.46,2.15,181,275
B,40,1,536.60,2.15,181,275
B,40,2,522.77,2.15,181,275
