workload,N,rep,first_query_us,avg_us,majflt,minflt
C,2,2,979.26,1.53,24,25
C,2,3,975.29,1.55,24,25
C,3,1,974.65,1.53,24,25
C,3,2,985.17,1.55,24,25
C,3,3,977.17,1.56,24,25
C,4,1,973.41,1.53,24,25
C,4,2,977.41,1.55,24,25
C,4,3,975.85,1.53,24,26
C,5,1,970.96,1.53,24,25
C,5,2,962.33,1.53,24,25
C,5,3,970.10,1.56,24,25
C,6,1,978.53,1.56,24,25
C,6,2,976.34,1.55,24,25
C,6,3,972.79,1.54,24,25
C,7,1,975.15,1.54,24,25
C,7,2,971.00,1.55,24,25
C,7,3,981.15,1.55,24,25
C,8,1,977.86,1.54,24,25
C,8,2,970.12,1.53,24,25
C,8,3,975.58,1.60,24,25
C,9,1,969.81,1.54,24,25
C,9,2,982.50,1.55,24,25
C,9,3,972.77,1.57,24,25
C,10,1,979.04,1.57,24,25
C,10,2,969.15,1.54,24,25
C,10,3,979.06,1.56,24,25
C,11,1,1014.52,1.58,24,26
C,11,2,971.54,1.56,24,25
C,11,3,971.57,1.53,24,25
C,12,1,986.72,1.57,24,25
C,12,2,974.30,1.55,24,25
C,12,3,972.45,1.51,24,25
C,13,1,981.47,1.53,24,25
C,13,2,969.00,1.51,24,25
C,13,3,965.10,1.52,24,25
C,14,1,917.35,1.52,24,25
C,14,2,971.54,1.53,24,25
C,14,3,973.41,1.54,24,25
C,15,1,1061.30,1.55,24,25
C,15,2,973.66,1.56,24,26
C,15,3,973.40,1.55,24,25
C,16,1,979.44,1.55,24,25
C,16,2,978.09,1.56,24,25
C,16,3,973.95,1.53,24,25
C,17,1,1029.04,1.54,24,25
C,17,2,902.89,1.51,24,25
C,17,3,916.09,1.55,24,26
C,18,1,977.68,1.53,24,25
C,18,2,966.26,1.55,24,25
C,18,3,982.36,1.58,24,25
C,19,1,986.34,1.53,24,25
C,19,2,977.94,1.53,24,25
C,19,3,975.88,1.53,24,25
C,20,1,967.36,1.57,24,25
C,20,2,978.56,1.56,24,25
C,20,3,973.56,1.53,24,25
C,21,1,977.83,1.55,24,25
C,21,2,974.54,1.54,24,25
C,21,3,964.31,1.55,24,25
C,22,1,975.01,1.52,24,26
C,22,2,983.71,1.54,24,26
C,22,3,980.19,1.53,24,25
C,23,1,918.67,1.53,24,25
C,23,2,989.24,1.53,24,25
C,23,3,970.04,1.54,24,25
C,24,1,969.83,1.57,24,25
C,24,2,973.65,1.54,24,25
C,24,3,979.84,1.54,24,25
C,25,1,984.76,1.57,24,25
C,25,2,973.37,1.54,24,25
C,25,3,988.72,1.54,24,25
C,26,1,984.12,1.57,24,25
C,26,2,989.64,1.53,24,25
C,26,3,1012.11,1.56,24,25
C,27,1,977.48,1.53,24,25
C,27,2,982.39,1.55,24,25
C,27,3,979.52,1.54,24,25
C,28,1,980.60,1.54,24,25
C,28,2,979.80,1.54,24,25
C,28,3,978.99,1.55,24,26
C,29,1,1015.96,1.54,24,26
C,29,2,900.62,1.55,24,25
C,29,3,969.84,1.53,24,25
C,30,1,977.67,1.57,24,26
C,30,2,975.67,1.52,24,25
C,30,3,964.93,1.53,24,25
C,31,1,966.02,1.56,24,25
C,31,2,980.47,1.53,24,25
C,31,3,975.14,1.53,24,25
C,32,1,989.61,1.54,24,25
C,32,2,982.70,1.54,24,25
C,32,3,986.99,1.53,24,25
C,33,1,909.50,1.54,24,25
C,33,2,972.65,1.54,24,25
