workload,N,rep,first_query_us,avg_us,majflt,minflt
B,81,2,441.13,2.00,145,235
B,81,3,435.43,2.00,145,235
B,82,1,429.96,1.99,145,235
B,82,2,436.83,2.00,145,235
B,82,3,449.70,1.99,145,235
B,83,1,438.92,2.00,145,235
B,83,2,437.30,2.01,145,236
B,83,3,442.87,2.00,145,235
B,84,1,434.72,2.02,145,235
B,84,2,449.00,2.02,145,235
B,84,3,435.02,2.02,145,235
B,85,1,454.99,2.01,145,235
B,85,2,441.13,2.01,145,235
B,85,3,441.83,2.02,145,235
B,86,1,433.96,1.98,145,235
B,86,2,438.45,1.98,145,235
B,86,3,438.51,2.00,145,235
B,87,1,434.88,1.99,145,235
B,87,2,445.29,2.01,145,236
B,87,3,439.91,1.97,145,235
B,88,1,440.08,1.98,145,235
B,88,2,498.14,1.99,145,235
B,88,3,437.29,2.00,145,235
B,89,1,447.79,1.99,145,236
B,89,2,437.58,1.98,145,235
B,89,3,434.03,2.03,145,235
B,90,1,436.97,2.04,145,235
B,90,2,447.44,2.01,145,235
B,90,3,438.60,2.05,145,235
B,91,1,439.15,2.02,145,235
B,91,2,443.66,1.97,145,235
B,91,3,448.40,1.97,145,235
B,92,1,453.57,1.99,145,235
B,92,2,439.51,2.00,145,235
B,92,3,443.18,2.05,145,235
C,0,1,887.28,1.46,14,33
C,0,2,941.83,1.49,14,33
C,0,3,911.39,1.46,14,33
C,1,1,750.42,1.45,14,33
C,1,2,819.51,1.47,14,33
C,1,3,783.26,1.55,14,33
C,2,1,825.46,1.47,14,34
C,2,2,824.26,1.50,14,33
C,2,3,815.86,1.48,14,33
C,3,1,826.39,1.48,14,33
C,3,2,817.57,1.46,14,33
C,3,3,821.44,1.46,14,33
C,4,1,828.61,1.46,14,33
C,4,2,834.25,1.45,14,33
C,4,3,824.69,1.46,14,33
C,5,1,859.46,1.47,14,34
C,5,2,814.27,1.47,14,33
C,5,3,829.28,1.46,14,33
C,6,1,823.56,1.47,14,33
C,6,2,822.45,1.48,14,33
C,6,3,817.62,1.48,14,33
C,7,1,833.57,1.45,14,33
C,7,2,816.83,1.45,14,33
C,7,3,824.65,1.50,14,34
C,8,1,816.53,1.47,14,33
C,8,2,818.38,1.49,14,34
C,8,3,814.46,1.48,14,33
C,9,1,819.79,1.45,14,33
C,9,2,754.61,1.47,14,33
C,9,3,821.37,1.46,14,34
C,10,1,788.38,1.47,14,33
C,10,2,748.27,1.47,14,33
C,10,3,743.87,1.45,14,33
C,11,1,841.13,1.48,14,33
C,11,2,819.67,1.46,14,33
C,11,3,816.83,1.47,14,33
C,12,1,816.59,1.46,14,33
C,12,2,816.56,1.46,14,33
C,12,3,824.56,1.48,14,33
C,13,1,750.96,1.46,14,33
C,13,2,815.91,1.47,14,33
C,13,3,745.29,1.51,14,34
C,14,1,782.15,1.50,14,33
C,14,2,750.90,1.48,14,34
C,14,3,822.11,1.48,14,33
C,15,1,828.33,1.47,14,33
C,15,2,823.27,1.48,14,33
C,15,3,826.19,1.50,14,33
C,16,1,867.99,1.45,14,33
C,16,2,822.69,1.48,14,33
C,16,3,817.15,1.46,14,34
C,17,1,741.81,1.44,14,33
C,17,2,751.38,1.46,14,33
C,17,3,746.09,1.45,14,33
C,18,1,820.35,1.48,14,33
C,18,2,751.44,1.46,14,33
C,18,3,821.24,1.45,14,33
C,19,1,829.60,1.47,14,33
C,19,2,819.37,1.47,14,33
C,19,3,817.88,1.48,14,33
C,20,1,830.49,1.45,14,33
C,20,2,915.69,1.46,14,33
C,20,3,832.62,1.49,14,33
C,21,1,828.99,1.49,14,33
C,21,2,818.42,1.47,14,33
C,21,3,827.34,1.48,14,33
C,22,1,816.65,1.48,14,33
C,22,2,818.28,1.48,14,33
C,22,3,774.18,1.51,14,33
C,23,1,821.69,1.47,14,33
C,23,2,806.06,1.45,14,33
C,23,3,819.89,1.46,14,33
C,24,1,835.57,1.47,14,33
C,24,2,816.00,1.47,14,33
C,24,3,810.44,1.49,14,33
C,25,1,820.03,1.45,14,33
C,25,2,824.12,1.49,14,33
C,25,3,810.29,1.48,14,33
C,26,1,827.39,1.47,14,33
C,26,2,813.96,1.50,14,33
C,26,3,819.76,1.50,14,33
C,27,1,816.02,1.49,14,33
C,27,2,811.07,1.47,14,33
C,27,3,819.25,1.45,14,33
C,28,1,824.27,1.47,14,33
C,28,2,829.69,1.49,14,33
C,28,3,816.39,1.46,14,33
C,29,1,822.40,1.46,14,33
C,29,2,827.62,1.50,14,33
C,29,3,825.22,1.47,14,33
C,30,1,824.78,1.47,14,34
C,30,2,825.93,1.48,14,33
C,30,3,824.06,1.46,14,33
C,31,1,819.62,1.48,14,33
C,31,2,821.89,1.48,14,33
C,31,3,825.31,1.48,14,33
C,32,1,830.38,1.47,14,33
C,32,2,752.41,1.47,14,33
C,32,3,747.40,1.48,14,33
C,33,1,823.30,1.48,14,33
C,33,2,818.06,1.46,14,33
C,33,3,819.45,1.49,14,33
C,34,1,825.99,1.46,14,33
C,34,2,800.79,1.47,14,33
C,34,3,781.76,1.47,14,33
C,35,1,822.35,1.46,14,33
C,35,2,820.28,1.48,14,33
C,35,3,810.17,1.48,14,33
C,36,1,816.29,1.47,14,34
C,36,2,831.17,1.48,14,33
C,36,3,792.49,1.46,14,33
C,37,1,821.48,1.47,14,33
C,37,2,793.54,1.50,14,33
C,37,3,791.62,1.47,14,33
C,38,1,788.90,1.49,14,33
C,38,2,796.67,1.50,14,33
C,38,3,795.58,1.48,14,33
C,39,1,787.76,1.47,14,34
C,39,2,792.65,1.49,14,34
C,39,3,852.48,1.55,14,33
C,40,1,830.13,1.49,14,33
C,40,2,821.84,1.47,14,33
C,40,3,830.45,1.46,14,33
C,41,1,790.14,1.49,14,33
C,41,2,787.37,1.51,14,33
C,41,3,831.00,1.48,14,33
C,42,1,786.87,1.51,14,33
C,42,2,819.35,1.47,14,33
C,42,3,809.17,1.48,14,33
C,43,1,819.74,1.48,14,33
C,43,2,817.59,1.49,14,34
C,43,3,827.90,1.48,14,33
C,44,1,822.75,1.46,14,33
C,44,2,822.45,1.46,14,33
C,44,3,815.14,1.48,14,33
C,45,1,822.97,1.49,14,33
C,45,2,820.88,1.48,14,33
C,45,3,783.41,1.46,14,33
C,46,1,779.43,1.46,14,33
C,46,2,826.49,1.49,14,33
C,46,3,786.02,1.47,14,33
C,47,1,812.22,1.50,14,33
C,47,2,828.47,1.48,14,33
C,47,3,817.84,1.47,14,33
C,48,1,789.88,1.47,14,33
C,48,2,794.13,1.47,14,33
C,48,3,825.30,1.48,14,33
C,49,1,785.12,1.50,14,33
C,49,2,818.66,1.46,14,33
C,49,3,827.14,1.46,14,33
C,50,1,751.05,1.45,14,33
C,50,2,823.49,1.46,14,33
C,50,3,816.06,1.45,14,33
C,51,1,781.20,1.48,14,33
C,51,2,798.43,1.46,14,33
C,51,3,793.80,1.46,14,33
C,52,1,751.97,1.47,14,33
C,52,2,819.44,1.45,14,33
