workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
A,ta,2e_K100,20M,6,352.93,1.94,241,344
A,ta,2e_K500,20M,6,206.20,1.85,214,411
A,ta,2f_SLRU,20M,6,14.88,1.86,196,511
A,ta,base,none,1,408.91,1.78,177,276
A,ta,2d,none,1,129.46,1.79,176,275
A,ta,2e_K10,none,1,248.55,1.76,179,279
A,ta,2e_K50,none,1,251.30,1.79,180,294
A,ta,2e_K100,none,1,396.33,1.83,181,314
A,ta,2e_K500,none,1,194.44,1.81,178,386
A,ta,2f_SLRU,none,1,15.40,1.51,0,280
A,ta,base,none,2,407.46,1.80,177,276
A,ta,2d,none,2,131.43,1.76,176,275
A,ta,2e_K10,none,2,263.21,1.76,179,279
A,ta,2e_K50,none,2,247.81,1.79,180,295
A,ta,2e_K100,none,2,377.59,1.82,181,313
A,ta,2e_K500,none,2,130.86,1.79,178,387
A,ta,2f_SLRU,none,2,17.75,1.50,0,280
A,ta,base,none,3,424.22,1.77,177,276
A,ta,2d,none,3,131.21,1.77,176,275
A,ta,2e_K10,none,3,250.39,1.78,179,279
A,ta,2e_K50,none,3,249.65,1.78,180,295
A,ta,2e_K100,none,3,356.06,1.81,181,312
A,ta,2e_K500,none,3,107.23,1.80,178,387
A,ta,2f_SLRU,none,3,17.60,1.51,0,280
A,ta,base,none,4,407.90,1.79,177,276
