workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
B,ta,2f_SLRU,20M,2,16.77,1.85,180,529
B,ta,base,20M,3,406.52,1.88,222,384
B,ta,2d,20M,3,402.19,1.92,220,370
B,ta,2e_K10,20M,3,320.82,1.89,235,390
B,ta,2e_K50,20M,3,259.38,1.85,206,297
B,ta,2e_K100,20M,3,432.89,1.90,229,349
B,ta,2e_K500,20M,3,352.19,1.88,206,346
B,ta,2f_SLRU,20M,3,16.66,1.86,182,488
B,ta,base,20M,4,425.32,1.90,200,292
B,ta,2d,20M,4,405.30,1.89,217,368
B,ta,2e_K10,20M,4,329.98,1.89,214,372
B,ta,2e_K50,20M,4,256.48,1.89,221,384
B,ta,2e_K100,20M,4,397.43,1.84,187,288
B,ta,2e_K500,20M,4,342.13,1.88,206,343
B,ta,2f_SLRU,20M,4,17.86,1.86,175,506
B,ta,base,20M,5,403.90,1.87,217,364
B,ta,2d,20M,5,396.25,1.88,211,363
B,ta,2e_K10,20M,5,289.93,1.85,188,289
B,ta,2e_K50,20M,5,245.25,1.84,186,300
B,ta,2e_K100,20M,5,367.80,1.86,204,356
B,ta,2e_K500,20M,5,292.53,1.86,202,327
B,ta,2f_SLRU,20M,5,17.14,1.87,186,524
B,ta,base,20M,6,407.69,1.90,210,375
B,ta,2d,20M,6,408.85,1.91,207,297
B,ta,2e_K10,20M,6,256.74,1.87,189,289
B,ta,2e_K50,20M,6,250.24,1.86,196,289
B,ta,2e_K100,20M,6,275.04,1.92,233,372
B,ta,2e_K500,20M,6,323.26,1.90,213,385
B,ta,2f_SLRU,20M,6,21.28,1.87,192,548
B,ta,base,none,1,416.53,1.85,182,277
B,ta,2d,none,1,396.80,1.83,181,275
B,ta,2e_K10,none,1,270.63,1.84,181,277
B,ta,2e_K50,none,1,248.69,1.83,183,281
B,ta,2e_K100,none,1,385.87,1.85,184,286
B,ta,2e_K500,none,1,350.22,1.84,186,322
B,ta,2f_SLRU,none,1,17.04,1.55,0,280
B,ta,base,none,2,424.94,1.84,182,277
B,ta,2d,none,2,409.02,1.84,181,276
B,ta,2e_K10,none,2,251.18,1.84,181,277
B,ta,2e_K50,none,2,249.13,1.84,183,282
B,ta,2e_K100,none,2,292.24,1.85,184,285
B,ta,2e_K500,none,2,423.61,1.89,186,322
B,ta,2f_SLRU,none,2,16.76,1.58,0,280
B,ta,base,none,3,415.84,1.83,182,277
B,ta,2d,none,3,402.49,1.84,181,275
B,ta,2e_K10,none,3,324.47,1.83,181,277
B,ta,2e_K50,none,3,251.92,1.82,183,282
B,ta,2e_K100,none,3,313.52,1.84,184,285
B,ta,2e_K500,none,3,390.80,1.88,186,325
B,ta,2f_SLRU,none,3,15.83,1.58,0,280
B,ta,base,none,4,415.58,1.86,182,277
B,ta,2d,none,4,398.71,1.84,181,275
B,ta,2e_K10,none,4,295.74,1.86,181,277
B,ta,2e_K50,none,4,260.39,1.88,183,283
B,ta,2e_K100,none,4,291.79,1.84,184,285
B,ta,2e_K500,none,4,361.37,1.90,186,321
B,ta,2f_SLRU,none,4,18.20,1.54,0,280
B,ta,base,none,5,416.21,1.86,182,277
B,ta,2d,none,5,385.95,1.83,181,275
B,ta,2e_K10,none,5,254.01,1.82,181,277
B,ta,2e_K50,none,5,251.81,1.82,183,282
B,ta,2e_K100,none,5,310.36,1.86,184,287
B,ta,2e_K500,none,5,272.10,1.85,186,326
B,ta,2f_SLRU,none,5,19.03,1.55,0,280
B,ta,base,none,6,434.79,1.82,182,277
B,ta,2d,none,6,411.02,1.84,181,276
B,ta,2e_K10,none,6,254.63,1.85,181,277
