workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
Z,vacuum,layers_5,async,128,4,0,0.00,100.00,566.21,242.28,808.49,1.44,1.00,11.00,0.60,55214384
Z,vacuum,layers_92,pread,128,4,0,0.00,100.00,210.00,7417.28,7627.28,1.42,1.00,12.00,0.60,55213856
Z,vacuum,layers_92,async,128,4,0,0.00,100.00,574.68,357.62,932.30,1.42,1.00,11.00,0.60,55215300
Z,vacuum,2d,pread,128,4,0,0.00,100.00,209.98,751.20,961.18,1.43,1.00,12.00,0.60,55213192
Z,vacuum,2d,async,128,4,0,0.00,100.00,571.21,245.12,816.33,1.43,1.00,11.00,0.60,55214276
Z,vacuum,2e_K10,pread,128,4,0,0.00,100.00,204.88,1027.24,1232.12,1.43,1.00,11.00,0.60,55213716
Z,vacuum,2e_K10,async,128,4,0,0.00,53.30,203.31,251.91,455.22,1.42,2.00,11.00,0.60,55214312
Z,vacuum,2e_K500,pread,128,4,0,0.00,100.00,202.29,1235.69,1437.98,1.43,0.00,10.00,0.60,55214068
Z,vacuum,2e_K500,async,128,4,0,0.00,21.10,203.74,277.88,481.62,1.43,0.00,10.00,0.60,55214888
Z,vacuum,2f_slru,pread,128,4,0,0.00,100.00,115.51,2033.41,2148.92,1.42,0.00,10.00,0.60,55214856
Z,vacuum,2f_slru,async,128,4,0,0.00,100.00,119.06,342.78,461.84,1.42,0.00,10.00,0.60,55215820
Z,ta,layers_5,pread,128,4,0,0.00,100.00,571.20,421.12,992.32,1.44,3.00,12.00,0.60,55215608
Z,ta,layers_5,async,128,4,0,0.00,100.00,597.30,243.24,840.54,1.44,3.00,12.00,0.60,55216444
Z,ta,layers_92,pread,128,4,0,0.00,100.00,208.02,1020.35,1228.37,1.44,1.00,10.00,0.60,55216228
Z,ta,layers_92,async,128,4,0,0.00,100.00,473.28,339.45,812.73,1.44,3.00,12.00,0.60,55216748
Z,ta,2d,pread,128,4,0,0.00,100.00,202.06,1024.40,1226.46,1.44,1.00,13.00,0.60,55197092
Z,ta,2d,async,128,4,0,0.00,51.10,469.67,278.97,748.64,1.44,3.00,12.00,0.60,55211264
Z,ta,2e_K10,pread,128,4,0,0.00,100.00,205.44,1052.07,1257.51,1.44,1.00,11.00,0.60,55226664
Z,ta,2e_K10,async,128,4,0,0.00,56.40,202.45,294.80,497.25,1.43,2.00,13.00,0.60,55226992
Z,ta,2e_K500,pread,128,4,0,0.00,100.00,206.84,1076.07,1282.91,1.44,0.00,11.00,0.64,55227528
Z,ta,2e_K500,async,128,4,0,0.00,39.70,207.40,322.31,529.71,1.44,0.00,11.00,0.64,55227952
Z,ta,2f_slru,pread,128,4,0,0.00,100.00,116.64,1502.62,1619.26,1.43,0.00,11.00,0.64,55228028
Z,ta,2f_slru,async,128,4,0,0.00,77.60,115.30,374.90,490.20,1.46,0.00,11.00,0.64,55228132
Z,orig,baseline,baseline,128,5,0,0.00,0.00,534.97,0.00,534.97,1.45,2.00,10.00,0.64,55228716
Z,vacuum,baseline,baseline,128,5,0,0.00,0.00,705.25,0.00,705.25,1.47,2.00,11.00,0.64,55228428
Z,ta,baseline,baseline,128,5,0,0.00,0.00,792.01,0.00,792.01,1.44,3.00,13.00,0.64,55227956
Z,orig,layers_5,pread,128,5,0,0.00,100.00,214.18,608.82,823.00,1.42,1.00,11.00,0.64,55228272
Z,orig,layers_5,async,128,5,0,0.00,100.00,422.52,245.45,667.97,1.43,2.00,10.00,0.64,55228068
Z,orig,layers_92,pread,128,5,0,0.00,100.00,215.92,8026.32,8242.24,1.43,1.00,11.00,0.64,55227856
Z,orig,layers_92,async,128,5,0,0.00,100.00,378.29,363.90,742.19,1.43,2.00,10.00,0.64,55227896
Z,orig,2d,pread,128,5,0,0.00,100.00,215.65,615.26,830.91,1.43,1.00,11.00,0.64,55228032
Z,orig,2d,async,128,5,0,0.00,100.00,416.35,241.74,658.09,1.46,2.00,10.00,0.64,55228404
Z,orig,2e_K10,pread,128,5,0,0.00,100.00,205.87,1000.53,1206.40,1.44,1.00,12.00,0.64,55227380
Z,orig,2e_K10,async,128,5,0,0.00,100.00,203.11,255.82,458.93,1.43,2.00,11.00,0.64,55227908
Z,orig,2e_K500,pread,128,5,0,0.00,100.00,201.59,1487.74,1689.33,1.43,0.00,10.00,0.64,55227412
Z,orig,2e_K500,async,128,5,0,0.00,55.30,202.74,277.16,479.90,1.44,0.00,10.00,0.64,55228428
Z,orig,2f_slru,pread,128,5,0,0.00,100.00,121.94,2243.75,2365.69,1.42,0.00,10.00,0.64,55227960
Z,orig,2f_slru,async,128,5,0,0.00,83.00,117.29,357.96,475.25,1.41,0.00,10.00,0.64,55228520
Z,vacuum,layers_5,pread,128,5,0,0.00,100.00,214.64,763.51,978.15,1.43,1.00,12.00,0.64,55228064
Z,vacuum,layers_5,async,128,5,0,0.00,100.00,566.62,243.89,810.51,1.43,1.00,11.00,0.64,55228832
Z,vacuum,layers_92,pread,128,5,0,0.00,100.00,217.32,7413.33,7630.65,1.43,1.00,12.00,0.64,55227596
Z,vacuum,layers_92,async,128,5,0,0.00,100.00,573.83,359.87,933.70,1.44,1.00,11.00,0.74,55195740
Z,vacuum,2d,pread,128,5,0,0.00,100.00,214.10,754.48,968.58,1.46,1.00,12.00,0.74,55197480
Z,vacuum,2d,async,128,5,0,0.00,100.00,566.59,243.40,809.99,1.44,1.00,11.00,0.74,55214176
Z,vacuum,2e_K10,pread,128,5,0,0.00,100.00,198.70,1019.34,1218.04,1.44,1.00,11.00,0.74,55213436
Z,vacuum,2e_K10,async,128,5,0,0.00,100.00,204.91,251.47,456.38,1.43,2.00,11.00,0.74,55214396
Z,vacuum,2e_K500,pread,128,5,0,0.00,100.00,202.45,1233.81,1436.26,1.43,0.00,10.00,0.74,55214184
Z,vacuum,2e_K500,async,128,5,0,0.00,55.30,203.64,274.32,477.96,1.42,0.00,10.00,0.74,55214976
Z,vacuum,2f_slru,pread,128,5,0,0.00,100.00,114.53,1986.38,2100.91,1.42,0.00,10.00,0.74,55215236
Z,vacuum,2f_slru,async,128,5,0,0.00,100.00,119.86,338.87,458.73,1.43,0.00,10.00,0.74,55215552
Z,ta,layers_5,pread,128,5,0,0.00,100.00,570.78,418.83,989.61,1.45,3.00,12.00,0.74,55215112
Z,ta,layers_5,async,128,5,0,0.00,100.00,603.33,244.61,847.94,1.45,3.00,12.00,0.74,55215560
Z,ta,layers_92,pread,128,5,0,0.00,100.00,203.26,1020.08,1223.34,1.44,1.00,10.00,0.74,55215336
Z,ta,layers_92,async,128,5,0,0.00,25.00,485.14,333.34,818.48,1.44,3.00,12.00,0.74,55215832
Z,ta,2d,pread,128,5,0,0.00,100.00,202.18,1019.35,1221.53,1.45,1.00,13.00,0.74,55215984
Z,ta,2d,async,128,5,0,0.00,68.90,470.41,280.82,751.23,1.44,3.00,12.00,0.74,55216332
Z,ta,2e_K10,pread,128,5,0,0.00,100.00,202.85,1016.43,1219.28,1.44,1.00,11.00,0.74,55216112
Z,ta,2e_K10,async,128,5,0,0.00,56.40,203.22,292.57,495.79,1.44,2.00,13.00,0.74,55216156
Z,ta,2e_K500,pread,128,5,0,0.00,100.00,209.96,1085.88,1295.84,1.44,0.00,11.00,0.74,55216472
Z,ta,2e_K500,async,128,5,0,0.00,39.70,202.83,317.35,520.18,1.43,0.00,11.00,0.74,55217716
Z,ta,2f_slru,pread,128,5,0,0.00,100.00,114.30,1494.52,1608.82,1.43,0.00,11.00,0.74,55217412
Z,ta,2f_slru,async,128,5,0,0.00,96.80,116.82,368.03,484.85,1.43,0.00,11.00,0.74,55217496
Z,orig,baseline,baseline,128,6,0,0.00,0.00,528.75,0.00,528.75,1.42,2.00,10.00,0.74,55218256
Z,vacuum,baseline,baseline,128,6,0,0.00,0.00,707.75,0.00,707.75,1.42,2.00,11.00,0.77,55218508
Z,ta,baseline,baseline,128,6,0,0.00,0.00,726.74,0.00,726.74,1.47,3.00,13.00,0.77,55218268
Z,orig,layers_5,pread,128,6,0,0.00,100.00,212.20,611.14,823.34,1.44,1.00,11.00,0.77,55217640
Z,orig,layers_5,async,128,6,0,0.00,100.00,409.70,241.69,651.39,1.45,2.00,10.00,0.77,55216616
Z,orig,layers_92,pread,128,6,0,0.00,100.00,215.76,7954.08,8169.84,1.41,1.00,11.00,0.77,55190344
Z,orig,layers_92,async,128,6,0,0.00,100.00,372.95,369.26,742.21,1.46,2.00,10.00,0.77,55207588
Z,orig,2d,pread,128,6,0,0.00,100.00,217.98,610.57,828.55,1.43,1.00,11.00,0.77,55207776
Z,orig,2d,async,128,6,0,0.00,100.00,378.79,242.94,621.73,1.43,2.00,10.00,0.77,55208164
Z,orig,2e_K10,pread,128,6,0,0.00,100.00,204.72,1088.69,1293.41,1.42,1.00,12.00,0.77,55208872
Z,orig,2e_K10,async,128,6,0,0.00,100.00,203.16,242.92,446.08,1.44,2.00,11.00,0.77,55207776
Z,orig,2e_K500,pread,128,6,0,0.00,100.00,213.85,1483.69,1697.54,1.44,0.00,10.00,0.77,55203764
Z,orig,2e_K500,async,128,6,0,0.00,39.50,206.50,274.86,481.36,1.43,0.00,10.00,0.77,55208292
Z,orig,2f_slru,pread,128,6,0,0.00,100.00,118.07,2233.24,2351.31,1.42,0.00,10.00,0.77,55207608
Z,orig,2f_slru,async,128,6,0,0.00,66.10,117.06,359.08,476.14,1.41,0.00,10.00,0.77,55207836
Z,vacuum,layers_5,pread,128,6,0,0.00,100.00,212.27,752.38,964.65,1.43,1.00,12.00,0.77,55207580
Z,vacuum,layers_5,async,128,6,0,0.00,100.00,569.92,240.47,810.39,1.43,1.00,11.00,0.77,55208380
Z,vacuum,layers_92,pread,128,6,0,0.00,100.00,214.80,7332.81,7547.61,1.44,1.00,12.00,0.77,55207164
Z,vacuum,layers_92,async,128,6,0,0.00,100.00,571.09,378.06,949.15,1.44,1.00,11.00,0.77,55208692
Z,vacuum,2d,pread,128,6,0,0.00,100.00,211.85,751.85,963.70,1.43,1.00,12.00,0.77,55208516
Z,vacuum,2d,async,128,6,0,0.00,100.00,566.77,243.83,810.60,1.43,1.00,11.00,0.77,55209004
Z,vacuum,2e_K10,pread,128,6,0,0.00,100.00,200.35,1011.36,1211.71,1.43,1.00,11.00,0.77,55208760
Z,vacuum,2e_K10,async,128,6,0,0.00,46.70,208.73,255.09,463.82,1.42,2.00,11.00,0.78,55209208
Z,vacuum,2e_K500,pread,128,6,0,0.00,100.00,201.81,1224.34,1426.15,1.42,0.00,10.00,0.78,55209368
Z,vacuum,2e_K500,async,128,6,0,0.00,21.10,201.04,277.55,478.59,1.42,0.00,10.00,0.78,55211260
Z,vacuum,2f_slru,pread,128,6,0,0.00,100.00,115.51,2069.84,2185.35,1.43,0.00,10.00,0.78,55210748
Z,vacuum,2f_slru,async,128,6,0,0.00,40.60,116.36,338.82,455.18,1.42,0.00,10.00,0.78,55211708
Z,ta,layers_5,pread,128,6,0,0.00,100.00,571.35,422.35,993.70,1.44,3.00,12.00,0.78,55210940
Z,ta,layers_5,async,128,6,0,0.00,100.00,602.22,240.31,842.53,1.45,3.00,12.00,0.78,55211668
