workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,ta,layers_5,pread,128,2,0,0.00,100.00,493.67,449.35,943.02,2.31,239.00,308.00,1.61,54020148
A,ta,layers_5,async,128,2,0,0.00,100.00,497.07,271.01,768.08,2.35,245.00,308.00,1.61,54019120
A,ta,layers_92,pread,128,2,0,0.00,100.00,190.01,991.08,1181.09,2.27,235.00,311.00,1.61,54021084
A,ta,layers_92,async,128,2,0,0.00,51.10,428.90,376.93,805.83,2.29,214.00,297.00,1.61,54021132
A,ta,2d,pread,128,2,0,0.00,100.00,195.97,1031.04,1227.01,2.32,232.00,313.00,1.61,54021340
A,ta,2d,async,128,2,0,0.00,60.50,439.95,312.68,752.63,2.20,207.00,299.00,1.61,54023808
A,ta,2e_K10,pread,128,2,0,0.00,100.00,198.13,2032.96,2231.09,2.30,224.00,323.00,1.61,54022592
A,ta,2e_K10,async,128,2,0,0.00,100.00,392.52,324.81,717.33,2.30,243.00,315.00,1.64,54023184
A,ta,2e_K500,pread,128,2,0,0.00,100.00,197.62,17717.05,17914.67,2.19,200.00,444.00,1.64,54005604
A,ta,2e_K500,async,128,2,0,0.00,38.70,195.35,1004.19,1199.54,2.22,224.00,454.00,1.64,54013764
A,ta,2f_slru,pread,128,2,0,0.00,100.00,112.29,17944.98,18057.27,1.62,10.00,285.00,1.64,54013736
A,ta,2f_slru,async,128,2,0,0.00,100.00,110.26,7548.81,7659.07,2.23,206.00,534.00,1.64,54009780
B,orig,layers_5,pread,128,2,0,0.00,100.00,377.58,640.53,1018.11,2.40,227.00,298.00,1.64,54018288
B,orig,layers_5,async,128,2,0,0.00,100.00,472.77,268.64,741.41,2.34,204.00,299.00,1.64,54019444
B,orig,layers_92,pread,128,2,0,0.00,100.00,395.76,8318.68,8714.44,2.31,196.00,286.00,1.64,54019836
B,orig,layers_92,async,128,2,0,0.00,100.00,371.87,404.04,775.91,2.29,204.00,306.00,1.64,54019432
B,orig,2d,pread,128,2,0,0.00,100.00,375.61,1913.67,2289.28,2.32,207.00,299.00,1.64,54021976
B,orig,2d,async,128,2,0,0.00,100.00,392.11,284.52,676.63,2.36,206.00,305.00,1.64,54023112
B,orig,2e_K10,pread,128,2,0,0.00,100.00,381.43,2871.65,3253.08,2.37,210.00,307.00,1.64,54023736
B,orig,2e_K10,async,128,2,0,0.00,100.00,381.73,300.60,682.33,2.33,201.00,287.00,1.64,54025204
B,orig,2e_K500,pread,128,2,0,0.00,100.00,387.37,18860.83,19248.20,2.24,189.00,397.00,1.64,54025784
B,orig,2e_K500,async,128,2,0,0.00,100.00,426.83,1121.84,1548.67,2.31,221.00,348.00,1.67,54024628
B,orig,2f_slru,pread,128,2,0,0.00,97.10,205.22,17947.50,18152.72,1.75,20.00,295.00,1.67,54025124
B,orig,2f_slru,async,128,2,0,0.00,99.70,188.31,7604.75,7793.06,2.33,200.00,515.00,1.67,54011724
B,vacuum,layers_5,pread,128,2,0,0.00,100.00,517.61,791.04,1308.65,2.17,142.00,238.00,1.67,54018844
B,vacuum,layers_5,async,128,2,0,0.00,100.00,505.40,268.26,773.66,2.13,143.00,235.00,1.67,54010764
B,vacuum,layers_92,pread,128,2,0,0.00,100.00,523.08,7780.41,8303.49,2.15,144.00,238.00,1.67,54009936
B,vacuum,layers_92,async,128,2,0,0.00,100.00,515.34,384.60,899.94,2.16,145.00,235.00,1.67,54011560
B,vacuum,2d,pread,128,2,0,0.00,100.00,494.99,1364.79,1859.78,2.16,144.00,238.00,1.67,54013760
B,vacuum,2d,async,128,2,0,0.00,100.00,510.70,276.38,787.08,2.17,145.00,235.00,1.67,54012148
B,vacuum,2e_K10,pread,128,2,0,0.00,100.00,508.62,2197.83,2706.45,2.13,144.00,241.00,1.67,54011364
B,vacuum,2e_K10,async,128,2,0,0.00,100.00,495.44,291.58,787.02,2.14,145.00,238.00,1.67,54014048
B,vacuum,2e_K500,pread,128,2,0,0.00,100.00,477.83,18867.55,19345.38,1.71,10.00,239.00,1.67,54014800
B,vacuum,2e_K500,async,128,2,0,0.00,24.60,391.77,935.06,1326.83,2.14,151.00,282.00,1.67,54013320
B,vacuum,2f_slru,pread,128,2,0,0.00,100.00,109.88,14227.95,14337.83,1.69,0.00,214.00,1.67,54013832
B,vacuum,2f_slru,async,128,2,0,0.00,100.00,106.51,5765.81,5872.32,1.70,0.00,214.00,1.70,54014948
B,ta,layers_5,pread,128,2,0,0.00,100.00,596.70,449.52,1046.22,2.41,208.00,312.00,1.70,54015928
B,ta,layers_5,async,128,2,0,0.00,100.00,608.09,269.38,877.47,2.33,197.00,290.00,1.70,54015048
B,ta,layers_92,pread,128,2,0,0.00,100.00,605.08,1055.67,1660.75,2.40,208.00,305.00,1.70,54003536
B,ta,layers_92,async,128,2,0,0.00,33.70,585.11,376.67,961.78,2.37,211.00,298.00,1.70,54004924
B,ta,2d,pread,128,2,0,0.00,100.00,570.77,1048.73,1619.50,2.36,211.00,289.00,1.70,53972756
B,ta,2d,async,128,2,0,0.00,77.50,592.38,309.49,901.87,2.35,204.00,283.00,1.70,53985056
B,ta,2e_K10,pread,128,2,0,0.00,100.00,599.69,2300.64,2900.33,2.30,191.00,286.00,1.70,53987184
B,ta,2e_K10,async,128,2,0,0.00,80.00,598.88,327.46,926.34,2.36,215.00,300.00,1.70,53988908
B,ta,2e_K500,pread,128,2,0,0.00,100.00,529.76,16980.10,17509.86,2.25,197.00,381.00,1.70,53987252
B,ta,2e_K500,async,128,2,0,0.00,24.10,634.78,961.29,1596.07,2.31,211.00,332.00,1.70,53986748
B,ta,2f_slru,pread,128,2,0,0.00,97.60,436.00,17957.28,18393.28,1.81,41.00,291.00,1.70,53986552
B,ta,2f_slru,async,128,2,0,0.00,100.00,106.27,7503.12,7609.39,2.28,191.00,527.00,1.70,53988452
C,orig,layers_5,pread,128,2,0,0.00,100.00,1011.04,634.68,1645.72,1.58,24.00,25.00,1.70,53989268
C,orig,layers_5,async,128,2,0,0.00,100.00,1012.70,268.67,1281.37,1.60,24.00,25.00,1.70,53990352
C,orig,layers_92,pread,128,2,0,0.00,100.00,608.10,8238.44,8846.54,1.59,24.00,25.00,1.72,53988652
C,orig,layers_92,async,128,2,0,0.00,100.00,638.27,401.75,1040.02,1.60,24.00,25.00,1.72,53992600
C,orig,2d,pread,128,2,0,0.00,100.00,633.52,563.35,1196.87,1.62,24.00,25.00,1.72,53992572
C,orig,2d,async,128,2,0,0.00,100.00,639.22,270.77,909.99,1.60,24.00,25.00,1.72,53992976
C,orig,2e_K10,pread,128,2,0,0.00,100.00,151.35,1357.49,1508.84,1.62,23.00,33.00,1.72,53993648
C,orig,2e_K10,async,128,2,0,0.00,100.00,158.36,280.27,438.63,1.63,23.00,33.00,1.72,53996128
C,orig,2e_K500,pread,128,2,0,0.00,100.00,153.80,2290.57,2444.37,1.54,0.00,36.00,1.72,53997556
C,orig,2e_K500,async,128,2,0,0.00,76.00,155.48,705.43,860.91,1.52,0.00,36.00,1.72,53997780
C,orig,2f_slru,pread,128,2,0,0.00,100.00,106.42,2850.63,2957.05,1.52,0.00,36.00,1.72,53997868
C,orig,2f_slru,async,128,2,0,0.00,100.00,103.01,1058.52,1161.53,1.52,0.00,36.00,1.72,53998444
C,vacuum,layers_5,pread,128,2,0,0.00,100.00,874.36,828.41,1702.77,1.54,14.00,33.00,1.72,53997316
C,vacuum,layers_5,async,128,2,0,0.00,100.00,890.41,219.47,1109.88,1.53,14.00,33.00,1.72,53997580
C,vacuum,layers_92,pread,128,2,0,0.00,100.00,509.40,7598.01,8107.41,1.53,14.00,36.00,1.72,53999456
C,vacuum,layers_92,async,128,2,0,0.00,100.00,480.22,395.81,876.03,1.54,14.00,36.00,1.72,53999204
C,vacuum,2d,pread,128,2,0,0.00,100.00,472.06,620.86,1092.92,1.53,14.00,36.00,1.72,53999328
C,vacuum,2d,async,128,2,0,0.00,100.00,471.35,271.67,743.02,1.53,14.00,36.00,1.72,54001436
C,vacuum,2e_K10,pread,128,2,0,0.00,100.00,188.61,1389.14,1577.75,1.53,12.00,44.00,1.72,54000760
C,vacuum,2e_K10,async,128,2,0,0.00,100.00,187.81,228.04,415.85,1.53,12.00,44.00,1.74,54000960
C,vacuum,2e_K500,pread,128,2,0,0.00,100.00,186.07,2457.59,2643.66,1.48,0.00,30.00,1.74,54002088
C,vacuum,2e_K500,async,128,2,0,0.00,60.70,186.47,670.79,857.26,1.49,0.00,30.00,1.74,54002384
C,vacuum,2f_slru,pread,128,2,0,0.00,100.00,99.93,3174.63,3274.56,1.49,0.00,30.00,1.74,54002236
C,vacuum,2f_slru,async,128,2,0,0.00,100.00,101.88,783.85,885.73,1.48,0.00,30.00,1.74,54002908
C,ta,layers_5,pread,128,2,0,0.00,100.00,820.07,399.03,1219.10,1.61,25.00,27.00,1.74,54002364
C,ta,layers_5,async,128,2,0,0.00,100.00,830.10,221.11,1051.21,1.62,25.00,27.00,1.74,53999276
C,ta,layers_92,pread,128,2,0,0.00,100.00,503.02,1062.02,1565.04,1.63,24.00,28.00,1.74,53999256
C,ta,layers_92,async,128,2,0,0.00,42.40,476.65,399.20,875.85,1.62,24.00,28.00,1.74,54295160
